lat,lng,labels,image_ids,gt
40.78444397440956,-73.97387036544755,"[0]","[281]",40.78449640247979
40.7843230540419,-73.97395859672496,"[0]","[281]",40.78437944072352
40.786722712297106,-73.97551211811844,"[0]","[23]",40.78678460543148
40.788011555723294,-73.97126839928684,"[0]","[253]",40.788003135790085
40.78809359569527,-73.97120863588779,"[0]","[253]",40.788003135790085
40.793101361039504,-73.97260809094229,"[0]","[85]",40.79298275544007
40.79302675486866,-73.9726617302065,"[0]","[85]",40.79298275544007
40.79337122714981,-73.97241030039365,"[0, 0]","[85, 95]",40.79342352985973
40.785236497723844,-73.97660002285605,"[0]","[13]",40.78523499960292
40.78531238405078,-73.97654468452862,"[0]","[13]",40.785292869400195
40.784894147455944,-73.97663624836467,"[0]","[13]",-1
40.78585124592036,-73.97614779741649,"[0]","[19]",40.785806308544785
40.78716748736721,-73.97518424342896,"[0]","[32]",40.78719585374236
40.7959566896364,-73.970524768468,"[0]","[140]",40.796026457497206
40.79184451392051,-73.97350452468613,"[0]","[62]",40.791897697044945
40.79168195620236,-73.97345010518778,"[0]","[62]",40.791897697044945
40.79201989729705,-73.97325570402698,"[0]","[62]",40.79230183243109
40.79178778627457,-73.9735708966086,"[0, 0]","[62, 63]",40.791897697044945
40.79868919220725,-73.96853249367145,"[0, 0]","[168, 167]",40.798507941555755
40.798906194321034,-73.96837514452,"[0, 0]","[168, 169]",40.798904826360015
40.797211716636795,-73.9696119522305,"[0]","[145]",40.797216582553865
40.79727859843621,-73.96956265619346,"[0]","[145]",-1
40.80012031562325,-73.96780574130506,"[0]","[216]",40.80009679831605
40.80027669942103,-73.96775501224234,"[0]","[216]",40.80028200355973
40.79824756057458,-73.96885608452223,"[0, 0]","[160, 157]",40.79824423910714
40.79841987110488,-73.96935410063799,"[0, 0]","[194, 195]",40.798302180865306
40.79823469261141,-73.96948180679473,"[0]","[194]",40.79826063091089
40.79836926786147,-73.96939063544662,"[0]","[194]",40.798302180865306
40.78568788289873,-73.97296239964857,"[0, 0]","[268, 269]",40.78569820394804
40.795371895614466,-73.97094768828094,"[0]","[132]",40.795573934588795
40.78484199286948,-73.9768843220667,"[0]","[10]",40.78483485568826
40.784761621734006,-73.97694312025557,"[0]","[10]",40.7847643100216
40.78667205840012,-73.97554916390052,"[0]","[22]",40.78667227588164
40.79482216816662,-73.97091065924685,"[0]","[122]",40.79498958124773
40.794658848550114,-73.97108338350047,"[0]","[122]",40.79467332185825
40.79190438920373,-73.97348702524316,"[0]","[63]",40.791897697044945
40.793421534451014,-73.97237432128858,"[0]","[88]",40.79342352985973
40.793152639430026,-73.97257122354773,"[0]","[88]",40.79298275544007
40.78688887901494,-73.97208803499835,"[0]","[263]",40.78681706573022
40.78675088470924,-73.97218857110492,"[0]","[263]",40.78681706573022
40.79345767769448,-73.97234847212707,"[0]","[90]",40.79342352985973
40.794409406884796,-73.97157343768744,"[0]","[116]",40.794324599473526
40.799375162540166,-73.96870001852139,"[0, 0]","[177, 178]",40.799529471273836
40.805320557730894,-73.9661763680626,"[0]","[246]",40.80531996123416
40.80545172113493,-73.96608158004753,"[0]","[246]",40.80537253214083
40.78817125205023,-73.97445052110619,"[0]","[42]",40.78800831727661
40.78802857789476,-73.97441374212805,"[0]","[42]",40.78800831727661
40.797787299078955,-73.96909096867176,"[0]","[147]",40.79784590781496
40.783862991217376,-73.97428674299229,"[0, 0]","[285, 288]",40.78361960863239
40.78807358853119,-73.9743826974375,"[0]","[41]",40.78800831727661
40.78794245058495,-73.97461734439423,"[0]","[41]",40.78796333671089
40.78800802594142,-73.97456953447299,"[0]","[41]",40.78800831727661
