lat,lng,labels,image_ids,gt
40.785797057922856,-73.976187516154,"[0]","[20]",40.785806308544785
40.785543163624396,-73.97620944721369,"[0]","[20]",40.7855725439978
40.787451718324874,-73.97497946267802,"[0]","[34]",40.78729533097672
40.79828432293307,-73.96948629785989,"[0]","[196]",40.798302180865306
40.78709299519438,-73.97523870381941,"[0, 0]","[28, 27]",40.78719585374236
40.797957655956836,-73.97009997661294,"[0]","[205]",40.79787328506801
40.800938700102684,-73.96764547824301,"[0]","[223]",40.80103265129347
40.79949878224272,-73.9686352436219,"[0]","[174]",40.799529471273836
40.783214480100504,-73.97476707715447,"[0, 0]","[292, 293]",40.783249622921005
40.80043077788208,-73.96754289296398,"[0]","[214]",-1
40.80022634718264,-73.96777134769074,"[0]","[214]",40.80028200355973
40.79997090058199,-73.96785414704348,"[0]","[214]",40.799999216697906
40.798753282797136,-73.96911101601742,"[0]","[188]",40.798712424235504
40.798667759947925,-73.96917325704591,"[0]","[188]",40.798712424235504
40.80090288840875,-73.9676517063637,"[0]","[221]",40.80103265129347
40.801326848134316,-73.96744396232977,"[0]","[221]",40.80131967835155
40.800802876974444,-73.9676690996566,"[0, 0]","[221, 220]",40.800800545927785
40.80482926546106,-73.96653164645222,"[0, 0]","[251, 250]",40.80484117307414
40.805040199366516,-73.96650932772927,"[0]","[251]",40.805057208749574
40.79748289100279,-73.97002615014895,"[0, 0]","[207, 208]",40.7974287785578
40.79755309448328,-73.96997409997121,"[0]","[207]",40.7974287785578
40.797401853466425,-73.97008612884196,"[0, 0]","[207, 208]",40.79739575473373
40.80583015149732,-73.96580202750344,"[0]","[242]",40.80567356942754
40.80572068075185,-73.96588170353014,"[0]","[242]",40.80567356942754
40.804556545487195,-73.96673289985806,"[0]","[252]",40.804558861149765
40.8046586745849,-73.96665753322037,"[0]","[252]",40.804558861149765
40.79833293046608,-73.96941686186683,"[0, 0, 0]","[193, 196, 195]",40.798302180865306
40.798472034534015,-73.96931639426784,"[0, 0]","[193, 194]",40.798302180865306
40.79214851208518,-73.973306217951,"[0]","[72]",40.79230183243109
