id,name,x,y,pitch,heading,height,fov,annotations,country,direction
60,oKuKuE8YNo.jpg,-73.9739378053669,40.7916033654959,0,119,,120,4,us,29.3895359039307
266,ShRZaJZzvs.jpg,-73.9724028036185,40.7862157184212,0,298,,120,4,us,208.164260864258
178,sDweKfNiDy.jpg,-73.9685804081573,40.7992994618629,0,292,,120,4,us,202.600387573242
200,RmJwP59zIZ.jpg,-73.9695000864863,40.7979778101346,0,300,,120,4,us,210.058837890625
289,3UleC2jrwF.jpg,-73.9743403172802,40.7836289267754,0,300,,120,4,us,210.48405456543
220,YE6gaFqe5m.jpg,-73.9679171569708,40.8006599814313,0,95,,120,4,us,5.32721853256226
299,icpvmiOJUh.jpg,-73.9754211405045,40.782089401009,0,298,,120,4,us,208.352432250977
16,3cAsSxptyK.jpg,-73.9764605859954,40.7857628192753,0,118,,120,4,us,28.6994342803955
208,QZFq73qUL1.jpg,-73.9699722329084,40.7973212306002,0,298,,120,4,us,208.947387695312
184,bknCIztXXg.jpg,-73.9689336107594,40.7987570240464,0,298,,120,4,us,208.897033691406
24,rCgngjueQ8.jpg,-73.9756582511307,40.7868547023895,0,118,,120,4,us,28.4709854125977
294,wXLBbV9xH4.jpg,-73.9749856744047,40.782749879713,0,298,,120,4,us,208.922241210938
250,ju4mcdvBFQ.jpg,-73.9663176422499,40.8048583175227,0,303,,120,4,us,213.725997924805
134,51BTL6QQgv.jpg,-73.9709729934544,40.7956601124582,0,118,,120,4,us,28.8035469055176
133,JvV0STGDxq.jpg,-73.9709878866678,40.7956369838298,0,117,,120,4,us,27.0342826843262
66,94uClF6LBy.jpg,-73.9736638539744,40.7920160554361,0,118,,120,4,us,28.7113265991211
158,TEH68VySdx.jpg,-73.9690578800248,40.7982734119685,0,119,,120,4,us,29.416389465332
14,O2rCGv438a.jpg,-73.9765934777148,40.7855364961811,0,113,,120,4,us,23.4065208435059
187,RQWhdoVqCl.jpg,-73.9690066211033,40.7986563992541,0,298,,120,4,us,208.479095458984
191,BLgtdR2Pnz.jpg,-73.969148401732,40.7984556381064,0,298,,120,4,us,208.398895263672
137,Q6J9cgqYjL.jpg,-73.9707456710573,40.7959658578146,0,118,,120,4,us,28.0804271697998
313,UBpCzkp1fV.jpg,-73.9762174431734,40.781006414757,0,298,,120,4,us,208.2451171875
5,xraQXkKi7H.jpg,-73.9777907425611,40.7838838199696,0,119,,120,4,us,29.4801464080811
290,CwZaHJOjeI.jpg,-73.9745629061123,40.7833362933866,0,307,,120,4,us,217.985107421875
293,5s9QOl9mxv.jpg,-73.9746821292949,40.7831560530832,0,299,,120,4,us,209.041351318359
61,CaJHmcb48Y.jpg,-73.9738141452011,40.7917519309113,0,117,,120,4,us,27.7723731994629
99,8hxodz1jOH.jpg,-73.9723340369041,40.7937592083799,0,120,,120,4,us,30.9706573486328
96,ihBw5i8p6q.jpg,-73.9724180151534,40.7936868183844,0,122,,120,4,us,32.3865356445312
146,FpaDNSwxKn.jpg,-73.9696778761408,40.7974824254867,0,117,,120,4,us,27.7568664550781
123,7INtmCpVsy.jpg,-73.9713860110957,40.7950320381193,0,117,,120,4,us,27.2348079681396
21,E59hJVmY3c.jpg,-73.9761617049934,40.786109045256,0,118,,120,4,us,28.6745452880859
131,Y3LwHOmqIA.jpg,-73.9710796851842,40.7954569640588,0,118,,120,4,us,28.5276679992676
120,WkdGaB3UHF.jpg,-73.9715321224419,40.7948427476841,0,116,,120,4,us,26.7917022705078
262,vyGq5VGrj3.jpg,-73.9718473356118,40.7869396209448,0,299,,120,4,us,209.596649169922
27,oMG8jjeByF.jpg,-73.9755436854088,40.7870131949193,0,118,,120,4,us,28.3579788208008
31,LVQKkeMIoi.jpg,-73.9753059802973,40.7872874683732,0,119,,120,4,us,29.3028888702393
296,HUuxrxzedD.jpg,-73.9751279608199,40.782484655408,0,298,,120,4,us,208.782638549805
130,s8mVEoiaeq.jpg,-73.9711100837337,40.7954151844856,0,118,,120,4,us,28.7636947631836
269,vJxhgQ7spi.jpg,-73.9728057663755,40.785613585518,0,297,,120,4,us,207.700119018555
117,QJOoP2Teoi.jpg,-73.9715903302238,40.794752644868,0,116,,120,4,us,26.5861587524414
33,uqky7bBoOb.jpg,-73.9752160783199,40.7874364245602,0,113,,120,4,us,23.848747253418
167,lAdV2VyTDr.jpg,-73.9686672732204,40.7988130898345,0,118,,120,4,us,28.983512878418
7,ARfa427Izj.jpg,-73.9776702741661,40.7840462593892,0,118,,120,4,us,28.6828708648682
248,Hjb50cvQY8.jpg,-73.9661499458547,40.8050569062018,0,299,,120,4,us,209.392959594727
212,1rlFZW5Qya.jpg,-73.9680698415791,40.8000203782847,0,104,,120,4,us,14.1294345855713
84,qlYzbqa4vi.jpg,-73.9729166906804,40.7930442931639,0,118,,120,4,us,28.6315135955811
150,cH9ETjNA7M.jpg,-73.9695031079453,40.7977154740839,0,120,,120,4,us,30.0694179534912
175,h0eGNiw1bs.jpg,-73.9684657980902,40.7995316837081,0,287,,120,4,us,197.469757080078
100,UNSTadHosr.jpg,-73.9722809261269,40.7938503052884,0,119,,120,4,us,29.1466464996338
169,7c3dOJLIvA.jpg,-73.9685360310709,40.7990046768427,0,115,,120,4,us,25.680793762207
43,yhkQVnQcBi.jpg,-73.9745753586049,40.7882314554985,0,120,,120,4,us,30.1250724792481
156,MpfuEahFDl.jpg,-73.9692755820366,40.7979762271041,0,118,,120,4,us,28.7027339935303
141,SGBewRt7cq.jpg,-73.9703261274905,40.7965367731269,0,118,,120,4,us,28.6514377593994
255,51sbJnocBK.jpg,-73.9712621100159,40.7877985120586,0,299,,120,4,us,209.622848510742
20,ySs8jKk2Ye.jpg,-73.9762762075226,40.785910898421,0,118,,120,4,us,28.9317607879639
34,e45ZG8rriK.jpg,-73.9751178891733,40.7875026607503,0,119,,120,4,us,29.3216171264648
199,pify3NdkYm.jpg,-73.9695201102863,40.7979972210876,0,299,,120,4,us,209.30078125
257,2HJq8Afqrc.jpg,-73.9713812894901,40.7876270729477,0,299,,120,4,us,209.361892700195
196,ucxqajP2iM.jpg,-73.9693930170625,40.7981116737915,0,299,,120,4,us,209.361190795898
35,IykkM5c0zJ.jpg,-73.9750951810564,40.78757277441,0,119,,120,4,us,29.010160446167
256,TG7pvfG2Aw.jpg,-73.971265254585,40.7877839800402,0,299,,120,4,us,209.169738769531
59,dGdcud3qtH.jpg,-73.9740053038655,40.7915129260055,0,119,,120,4,us,29.8344116210938
28,7l9zMQsfCA.jpg,-73.9755027741514,40.7870152425873,0,118,,120,4,us,28.5003318786621
195,1cEeHaxX43.jpg,-73.9693202699132,40.7982493146922,0,301,,120,4,us,211.333374023438
288,3L1wcmUT9i.jpg,-73.9742263852808,40.7837245882189,0,295,,120,4,us,205.573043823242
174,5BJC9tXqPB.jpg,-73.968475130803,40.7995723170673,0,290,,120,4,us,200.033966064453
292,KKB6UvlQ7H.jpg,-73.9745350144904,40.7832342739377,0,299,,120,4,us,209.898559570312
214,aJl3LE8vRk.jpg,-73.9679858804778,40.800179559727,0,101,,120,4,us,11.857497215271
188,M5LELzNXHL.jpg,-73.9690636793918,40.7985757616767,0,298,,120,4,us,208.1630859375
183,WiwZLChlWr.jpg,-73.9688313239585,40.7988842135148,0,299,,120,4,us,209.582122802734
213,hZH636Iw3C.jpg,-73.968044822406,40.7999962365456,0,103,,120,4,us,13.8858184814453
251,AbXpRdKvaA.jpg,-73.9663260323338,40.8048234811633,0,298,,120,4,us,208.570541381836
207,9GbtNREqgr.jpg,-73.969903056112,40.7974210119155,0,299,,120,4,us,209.170166015625
70,Q2vi4lO88O.jpg,-73.9734899333559,40.7921386526255,0,118,,120,4,us,28.4467182159424
242,MXulL6OODj.jpg,-73.9657979884694,40.8056373285186,0,312,,120,4,us,222.468704223633
252,9nhgM7DqVf.jpg,-73.9666362858357,40.8044892376372,0,299,,120,4,us,209.957611083984
193,leDPBocghY.jpg,-73.9692047421042,40.7983758252099,0,298,,120,4,us,208.472198486328
298,lT6UpdZuBX.jpg,-73.9752368813463,40.7823837569596,0,302,,120,4,us,212.047241210938
72,AWlPaSLZW9.jpg,-73.9733965960708,40.7923217211054,0,117,,120,4,us,27.9970798492432
