id,name,x,y,pitch,heading,height,fov,annotations,country,direction
4,27ONVS6hxS.jpg,-73.9778219771338,40.7838424025934,0,119,,120,3,us,29.4051418304443
71,eoEef7IIqw.jpg,-73.9735267042138,40.7921459925723,0,118,,120,3,us,28.3687877655029
281,1Af5Cf34W2.jpg,-73.9737739349365,40.7844006915427,0,298,,120,3,us,208.07633972168
23,SONMHfAAdW.jpg,-73.9757402444363,40.7867444934903,0,119,,120,3,us,29.3231525421143
253,D2u3LL8eSf.jpg,-73.9711477636441,40.7878873002605,0,299,,120,3,us,209.019973754883
85,OfaJ3xM4T8.jpg,-73.9728248071056,40.7933617864743,0,120,,120,4,us,30.7924499511719
13,L5RWSaeITq.jpg,-73.976769224265,40.7852771414945,0,118,,120,4,us,28.4378337860107
19,GXuwyziEd2.jpg,-73.9764773920129,40.7858007353905,0,118,,120,4,us,28.7437305450439
32,138omCsXy6.jpg,-73.9752571926469,40.7874135071188,0,119,,120,4,us,29.4549102783203
140,H3i9505J6C.jpg,-73.970668685244,40.7960649079881,0,119,,120,4,us,29.3076438903809
260,LWc6tu43eM.jpg,-73.9717183492752,40.7871667225266,0,299,,120,4,us,209.71891784668
62,fGVFEa3OCT.jpg,-73.9737570736675,40.7918333398829,0,118,,120,4,us,28.3820037841797
168,JPkGlzgunb.jpg,-73.9685982399852,40.7989012712289,0,118,,120,4,us,28.1568012237549
145,rsGaT0UAUL.jpg,-73.9697673232205,40.7973504345225,0,121,,120,4,us,31.9652614593506
163,iTgObrhhsW.jpg,-73.9689016158466,40.7984902160752,0,119,,120,4,us,29.0324535369873
6,hbGA8BNJyU.jpg,-73.9777323224338,40.7839619177826,0,119,,120,4,us,29.3534469604492
216,UUykGm71vc.jpg,-73.967969357397,40.8003586855799,0,101,,120,4,us,11.1412210464478
160,lt3OnwUcvu.jpg,-73.9690307988292,40.7983220093462,0,118,,120,4,us,28.3880214691162
194,kAcLYQVBeP.jpg,-73.9692377348305,40.7983472027843,0,294,,120,4,us,204.412063598633
268,7BknFhGFyA.jpg,-73.9727394968136,40.7857822280547,0,291,,120,4,us,201.93440246582
12,214e1X5kLI.jpg,-73.9768531593382,40.7851606814104,0,118,,120,3,us,28.9056854248047
95,Nea5Pp6QQa.jpg,-73.9725250999016,40.7935557408444,0,121,,120,3,us,31.2597827911377
132,Zj0TAU0igD.jpg,-73.971041871691,40.7955142461938,0,117,,120,3,us,27.5380001068115
10,IE6mk3cjtA.jpg,-73.9771204032185,40.7847985715778,0,118,,120,3,us,28.7895736694336
22,Tv1zVdaoVz.jpg,-73.975756697812,40.7866641903638,0,118,,120,3,us,28.5419807434082
